STUDY_ID,INCLUDE,url,title,ROUND1INC,ROUND2INC,DOWNLOADED
1912302,yes,www.promedmail.org/post/1912302,"Bacterioides fragilis - USA: (WA) ex India susp, multidrug resistance",yes,no,yes
1184441,yes,www.promedmail.org/post/1184441,"Acinetobacter - Chile: (Santiago) burn unit, drug-resistant",yes,no,yes
518822,yes,www.promedmail.org/post/518822,"Acinetobacter, resistant, fatal - Japan: (Tokyo) RFI",yes,yes,yes
2442194,yes,www.promedmail.org/post/2442194,Antibiotic resistance - worldwide: WHO,no,yes,yes
2197723,yes,www.promedmail.org/post/2197723,Antibiotic resistance &amp; agricultural uses - USA,yes,yes,yes
2193462,yes,www.promedmail.org/post/2193462,"Antibiotic resistance, Neisseria gonorrheae - USA(02)",yes,yes,yes
927831,yes,www.promedmail.org/post/927831,"Antibiotic resistance, Neisseria gonorrhoeae - Austria: cefixime",yes,yes,yes
1175801,yes,www.promedmail.org/post/1175801,"Antibiotic resistance, Neisseria gonorrhoeae - Slovenia: (Ljubljana)",yes,no,yes
2008610,yes,www.promedmail.org/post/2008610,Antimicrobial resistance - Netherlands ex Egypt: family,yes,yes,yes
2044022,yes,www.promedmail.org/post/2044022,"Campylobacteriosis - USA (12): 2012, uncooked chicken livers",yes,no,yes
1911344,yes,www.promedmail.org/post/1911344,"Cholera, diarrhea &amp; dysentery update (40):Italy ex Cuba, Dominican Rep",yes,yes,yes
10285,yes,www.promedmail.org/post/10285,"Cholera, diarrhea &amp; dysentery update 2007 (20)",yes,yes,yes
10286,yes,www.promedmail.org/post/10286,"Cholera, diarrhea &amp; dysentery update 2007 (20) (Shigellosis, Missouri)",no,yes,yes
337807,yes,www.promedmail.org/post/337807,"Cholera, diarrhea &amp; dysentery update 2009 (30)",no,yes,yes
133986,yes,www.promedmail.org/post/133986,Clostridium difficile - Germany,yes,yes,yes
1445682,yes,www.promedmail.org/post/1445682,"Clostridium difficile - worldwide: fluoroquinolone resistance, 027",yes,yes,yes
2206684,yes,www.promedmail.org/post/2206684,"Clostridium difficile, increased virulence - USA",yes,yes,yes
731675,yes,www.promedmail.org/post/731675,"E. coli O104 - EU (02): (Germany, EU ex Germany) alert",yes,no,yes
740427,yes,www.promedmail.org/post/740427,"E. coli O104 - EU (08) &amp; USA: genetic analysis, more cases",no,yes,yes
742808,yes,www.promedmail.org/post/742808,E. coli O104 - EU (10): USA commentary,yes,no,yes
482787,yes,www.promedmail.org/post/482787,E. coli ST131 - USA: emerging drug-resistant pathogen worldwide,yes,no,yes
2653134,yes,www.promedmail.org/post/2653134,"Gonococcal disease - Sweden: pharynx, treatment failure, 2013-2014",no,yes,yes
2201762,yes,www.promedmail.org/post/2201762,"Gonorrhea, multidrug resistant - USA (CA, HI)",yes,yes,yes
2201876,yes,www.promedmail.org/post/2201876,"Gram negative bacilli, ESBL - UK (Scotland)",yes,yes,yes
1047007,yes,www.promedmail.org/post/1047007,"Gram negative bacilli, MDR - Brazil: (SC) KPC, nosocomial",yes,yes,yes
1074688,yes,www.promedmail.org/post/1074688,"Gram negative bacilli, MDR - Chile: ex Italy, KPC, nosocomial",yes,yes,yes
803485,yes,www.promedmail.org/post/803485,"Gram negative bacilli, multidrug resistance - Panama, Netherlands",yes,yes,yes
877367,yes,www.promedmail.org/post/877367,"Gram negative bacilli, multidrug resistance, nosocomial - Canada: (QC)",yes,yes,yes
564795,yes,www.promedmail.org/post/564795,"Gram negative bacilli, resistant, update (01): NDM-1, KPC",yes,yes,yes
2686499,yes,www.promedmail.org/post/2686499,Haemophilus influenzae - Taiwan: increasing fluoroquinolone resistance,yes,no,yes
8918,yes,www.promedmail.org/post/8918,"Klebsiella pneumoniae, multiresistant, nosocomial - Israel",yes,no,yes
58468,yes,www.promedmail.org/post/58468,"Meningitis, meningococcal, drug resistant - USA (MN, ND)",yes,yes,yes
2194333,yes,www.promedmail.org/post/2194333,Meningococcal resistance to chloramphenicol,yes,yes,yes
2322398,yes,www.promedmail.org/post/2322398,NDM carrying Gram-negative bacilli - Americas: Update,no,yes,yes
1860993,yes,www.promedmail.org/post/1860993,"NDM-1 carrying Acinetobacter - France: ex Algeria, ICU outbreak",yes,yes,yes
1952976,yes,www.promedmail.org/post/1952976,NDM-1 carrying Enterobacteriaceae - Brazil: (RJ),yes,yes,yes
1249316,yes,www.promedmail.org/post/1249316,NDM-1 carrying Enterobacteriaceae - France: ex Cameroon,yes,yes,yes
960952,yes,www.promedmail.org/post/960952,"NDM-1 carrying Enterobacteriaceae - Guatemala: 1st rep, PAHO",yes,yes,yes
1044861,yes,www.promedmail.org/post/1044861,"NDM-1 carrying Enterobacteriaceae - Ireland: 1st rep, ex India",no,yes,yes
960397,yes,www.promedmail.org/post/960397,NDM-1 carrying Enterobacteriaceae - Italy: link to India,yes,no,yes
493049,yes,www.promedmail.org/post/493049,"NDM-1 carrying Enterobacteriaceae - N America, UK ex India",yes,no,yes
1175799,yes,www.promedmail.org/post/1175799,NDM-1 carrying Enterobacteriaceae - USA: (RI) ex Viet Nam,yes,no,yes
495820,yes,www.promedmail.org/post/495820,"NDM-1 carrying Enterobacteriaceae - worldwide ex India, Pakistan",yes,yes,yes
527634,yes,www.promedmail.org/post/527634,"NDM-1 carrying Enterobacteriaceae - worldwide ex India, Pakistan (02)",yes,no,yes
544590,yes,www.promedmail.org/post/544590,NDM-1 carrying Enterobacteriaceae (04): Taiwan ex India,yes,no,yes
1402258,yes,www.promedmail.org/post/1402258,NDM-1 carrying Pseudomonas - France: (ex Serbia),yes,yes,yes
1224333,yes,www.promedmail.org/post/1224333,NDM-1 carrying Vibrio cholerae - India,yes,yes,yes
1414608,yes,www.promedmail.org/post/1414608,NDM-carrying Enterobacteriaceae - USA (03): (CO) nosocomial,no,yes,yes
6780,yes,www.promedmail.org/post/6780,"Pseudomonas aeruginosa, carbapenem resistant - Belgium",yes,no,yes
2201148,yes,www.promedmail.org/post/2201148,S. Typhimurium DT104 - Netherlands: 2000-2001,yes,no,yes
2202080,yes,www.promedmail.org/post/2202080,"Salmonella newport, multiresistant - USA: alert",yes,yes,yes
2208994,yes,www.promedmail.org/post/2208994,Salmonella typhimurium DT104 - Netherlands,yes,no,yes
2192654,yes,www.promedmail.org/post/2192654,"Salmonella typhimurium DT104, antibiotic res.- Canada",no,yes,yes
2208920,yes,www.promedmail.org/post/2208920,"Salmonella typhimurium DT104, beef - Norway ex Poland",yes,no,yes
2201393,yes,www.promedmail.org/post/2201393,"Salmonella, fluoroquinolone resistance - Taiwan (02)",yes,no,yes
22574,yes,www.promedmail.org/post/22574,"Salmonellosis, (Schwarzengrund), pet owners - USA (PA):alert",no,yes,yes
441777,yes,www.promedmail.org/post/441777,"Salmonellosis, serotype 4,[5],12:i:- - EU",no,yes,yes
323594,yes,www.promedmail.org/post/323594,"Salmonellosis, serotype enteritidis - UK: (E &amp; W)",yes,no,yes
809906,yes,www.promedmail.org/post/809906,"Salmonellosis, serotype Heidelberg - USA (02): ground turkey, recall",yes,no,yes
44226,yes,www.promedmail.org/post/44226,"Salmonellosis, serotype Paratyphi var Java - Europe",yes,no,yes
40283,yes,www.promedmail.org/post/40283,"Salmonellosis, serotype Weltevreden, sprouts - Scandinavia",yes,no,yes
2057055,yes,www.promedmail.org/post/2057055,"Salmonellosis, st. Paratyphi A - Japan: ex India, multidrug resistance",yes,yes,yes
1581525,yes,www.promedmail.org/post/1581525,"Shigellosis, serotype Sonnei - USA: (CA) 2012, resistance",yes,no,yes
2311665,yes,www.promedmail.org/post/2311665,"Staph. aureus (MRSA), comm. assoc. - China: (HK)",no,yes,yes
612593,yes,www.promedmail.org/post/612593,"Staph. aureus (MRSA), USA300 - Isle of Man",yes,yes,yes
2190829,yes,www.promedmail.org/post/2190829,"Staph. aureus, vancomycin resistance? - Japan (02)",yes,yes,yes
2201827,yes,www.promedmail.org/post/2201827,"Staph. aureus, VISA - UK (England)",yes,yes,yes
2202090,yes,www.promedmail.org/post/2202090,"Staph. aureus, VRSA - USA (Michigan)",yes,yes,yes
2205625,yes,www.promedmail.org/post/2205625,"Staph. aureus, VRSA - USA (NY)",no,yes,yes
2202693,yes,www.promedmail.org/post/2202693,"Staph. aureus, VRSA - USA (Pennsylvania)",no,yes,yes
1800166,yes,www.promedmail.org/post/1800166,"Staphylococcus aureus, MRSA - Brazil: (SP) vancomycin resistant (VRSA)",yes,yes,yes
2420131,yes,www.promedmail.org/post/2420131,"Staphylococcus aureus, MRSA - Brazil: (SP) vancomycin resistant (VRSA) update",yes,yes,yes
2193210,yes,www.promedmail.org/post/2193210,"Staphylococcus aureus, vancomycin res. -USA(New York)",yes,no,yes
2200324,yes,www.promedmail.org/post/2200324,"Staphylococcus, MRSA, linezolid resistant - USA",yes,yes,yes
36325,yes,www.promedmail.org/post/36325,"Strep. pneumoniae, serotypes 5, 19A - Canada: (BC, ON)",yes,no,yes
2190697,yes,www.promedmail.org/post/2190697,"Strep.pneumoniae, drug resistant - Canada (Ontario)",yes,no,yes
2204930,yes,www.promedmail.org/post/2204930,"Tuberculosis, new multidrug-resistant strain -S. Africa",yes,yes,yes
2192508,yes,www.promedmail.org/post/2192508,"Vancomycin resistance, intermed., S. aureus - Europe",yes,no,yes
536278,yes,www.promedmail.org/post/536278,VIM carrying Enterobacteriaceae - USA ex Greece: 1st rep.,yes,yes,yes
2202163,yes,www.promedmail.org/post/2202163,VRE - Canada (Nova Scotia),yes,yes,yes
3915891,yes,www.promedmail.org/post/3915891,"Antibiotic resistance - Canada: colistin, MCR-1, E. coli, grd. beef, human, 2010",yes,no,yes
3810204,yes,www.promedmail.org/post/3810204,"Antibiotic resistance - China: colistin, plasmid-encoded, humans, animals",yes,no,yes
3844715,yes,www.promedmail.org/post/3844715,"Antibiotic resistance - Denmark: colistin, MCR-1, salmonella, human, chicken, RFI",yes,yes,yes
4317770,yes,www.promedmail.org/post/4317770,"Antibiotic resistance - USA (03): (NY) colistin, MCR-1, E. coli, human",yes,yes,yes
4251552,yes,www.promedmail.org/post/4251552,"Antibiotic resistance - USA: colistin, MCR-1, E. coli, human, pig",yes,yes,yes
4293589,yes,www.promedmail.org/post/4293589,"Antibiotic resistance, Salmonella - Africa: (sub-Saharan) fluoroquinolones",yes,no,yes
3875812,yes,www.promedmail.org/post/3875812,"Antibiotic resistance: colistin, MCR-1, multi-continent spread, human, animal",yes,yes,yes
3841131,yes,www.promedmail.org/post/3841131,"Carbapenem-resistant Enterobacteriaceae - USA: OXA-48 carbapenemases, 2010-2015",yes,yes,yes
3907866,yes,www.promedmail.org/post/3907866,"Gonococcal disease - UK: (England) azithromycin monotherapy resistance, RFI",yes,yes,yes
4400601,yes,www.promedmail.org/post/4400601,"Antibiotic resistance - Europe, Canada: colistin, MCR-1, E. coli, bovine, human",yes,yes,yes
4459453,yes,www.promedmail.org/post/4459453,"Antibiotic resistance - USA (04): (NJ) colistin/carbapenem, MCR-1, E. coli, human",yes,yes,yes
4479863,yes,www.promedmail.org/post/4479863,"Antibiotic resistance - USA (05): colistin, MCR-1, E. coli, new case, contacts",yes,no,yes
4479782,yes,www.promedmail.org/post/4479782,"Gonococcal disease - UK (02): azithromycin resistance, spread, MSM, RFI",yes,yes,yes
3870429,yes,www.promedmail.org/post/3870429,"Antibiotic resistance - Netherlands: colistin, MCR-1, salmonella, poultry meat",yes,no,yes
4290293,yes,www.promedmail.org/post/4290293,"Antibiotic resistance - USA (02): colistin, MCR-1, E. coli, pig",yes,no,yes
5003312,yes,www.promedmail.org/post/5003312,"Antibiotic resistance - USA: (CA) MDR-Acinetobacter, bacteriophage therapy",yes,no,yes
5055025,yes,www.promedmail.org/post/5055025,"Antibiotic resistance (03): USA (TX) MDR K. pneumoniae, CG307 predominant clone",yes,no,yes
5062031,yes,www.promedmail.org/post/5062031,"Antibiotic resistance (04): Canada, Fosfomycin, fosA7 gene, Salmonella, chickens",yes,no,yes
5066686,yes,www.promedmail.org/post/5066686,"Antibiotic resistance (05): China, colistin, mcr-1, hospital outbreak",yes,yes,yes
960890,yes,www.promedmail.org/post/960890,"Antibiotic resistance, E. coli - UK (02): (Wales) ESBL",no,yes,yes
959476,yes,www.promedmail.org/post/959476,"Antibiotic resistance, E. coli - UK: (Wales) ESBL",no,yes,yes
2199080,yes,www.promedmail.org/post/2199080,"Antibiotic resistance, gonococci - UK (Scotland)",yes,no,yes
786078,yes,www.promedmail.org/post/786078,"Antibiotic resistance, Neisseria gonorrhoeae - Japan: ceftriaxone",yes,yes,yes
2193242,yes,www.promedmail.org/post/2193242,"Antibiotic resistance, pneumococcal - South Africa &amp; USA",yes,no,yes
938611,yes,www.promedmail.org/post/938611,"Antibiotic resistance, Salmonella typhi - India (02): (Mumbai) fluoroquinolones",yes,no,yes
1622,yes,www.promedmail.org/post/1622,"Avian influenza, human - East Asia (203): Tamiflu resistance",yes,no,yes
6749,yes,www.promedmail.org/post/6749,"Avian influenza, human (15): Egypt, drug resistance",yes,no,yes
4050698,yes,www.promedmail.org/post/4050698,"Bacterial canker, kiwifruit - China: reservoir hosts",yes,no,yes
4652418,yes,www.promedmail.org/post/4652418,"Carbapenem-resistant Enterobacteriaceae - Ireland: (LK) nosocomial, fatal, 2009-2015",yes,yes,yes
4545844,yes,www.promedmail.org/post/4545844,Carbapenem-resistant Enterobacteriaceae - USA: (CA) reportable,yes,yes,yes
3359072,yes,www.promedmail.org/post/3359072,"Carbapenem-resistant Gram-negative bacilli - Europe: ERCP endoscope, 2012",yes,no,yes
2192767,yes,www.promedmail.org/post/2192767,Cholera - Comoros Islands,yes,no,yes
565941,yes,www.promedmail.org/post/565941,Cholera - Haiti (06): WHO,yes,no,yes
2195229,yes,www.promedmail.org/post/2195229,Cholera - India: new strains?,yes,no,yes
2196420,yes,www.promedmail.org/post/2196420,Cholera - Madagascar: compulsory meds. (03),no,yes,yes
2190789,yes,www.promedmail.org/post/2190789,Cholera - Thailand,no,yes,yes
2194945,yes,www.promedmail.org/post/2194945,"Cholera, diarrhea &amp; dysentery reports: Jan 14",yes,yes,yes
2195749,yes,www.promedmail.org/post/2195749,"Cholera, diarrhea &amp; dysentery reports: May 26",yes,no,yes
2196649,yes,www.promedmail.org/post/2196649,"Cholera, diarrhea &amp; dysentery reports: Sep 30",yes,yes,yes
4846873,yes,www.promedmail.org/post/4846873,"Cholera, diarrhea &amp; dysentery update (06): Africa",yes,no,yes
5105568,yes,www.promedmail.org/post/5105568,"Cholera, diarrhea &amp; dysentery update (52): Africa, Asia",no,yes,yes
2207996,yes,www.promedmail.org/post/2207996,"Cholera, diarrhea &amp; dysentery update 2005 (21)",yes,yes,yes
35040,yes,www.promedmail.org/post/35040,"Cholera, diarrhea &amp; dysentery update 2007 (53)",yes,yes,yes
36058,yes,www.promedmail.org/post/36058,"Cholera, diarrhea &amp; dysentery update 2007 (56)",no,yes,yes
127709,yes,www.promedmail.org/post/127709,"Cholera, diarrhea &amp; dysentery update 2008 (43): Congo DR",yes,yes,yes
400797,yes,www.promedmail.org/post/400797,"Cholera, diarrhea &amp; dysentery update 2010 (07): Asia, Americas",no,yes,yes
741018,yes,www.promedmail.org/post/741018,"Cholera, diarrhea &amp; dysentery update 2011 (13): Ukraine (DT)",yes,yes,yes
841295,yes,www.promedmail.org/post/841295,"Cholera, diarrhea &amp; dysentery update 2011 (26): Asia",no,yes,yes
2202161,yes,www.promedmail.org/post/2202161,"Cholera, diarrhea &amp; dysentery update: Jul 2002 (03)",yes,no,yes
2198285,yes,www.promedmail.org/post/2198285,"Cholera, diarrhea &amp; dysentery update: July 2000",no,yes,yes
804535,yes,www.promedmail.org/post/804535,"Clostridium difficile - Canada: (ON) nosocomial, fatal, RFI",no,yes,yes
1054069,yes,www.promedmail.org/post/1054069,"Clostridium difficile - Panama: new strain, RFI",yes,yes,yes
2208828,yes,www.promedmail.org/post/2208828,"Clostridium difficile, ribotype 027 - Belgium",yes,yes,yes
36107,yes,www.promedmail.org/post/36107,"Clostridium difficile, ribotype 027 - Finland",yes,yes,yes
2200002,yes,www.promedmail.org/post/2200002,"E. coli, ESBL - Canada (Ontario)",yes,yes,yes
2206147,yes,www.promedmail.org/post/2206147,"E. coli, ESBL - UK (Shropshire) (02)",no,yes,yes
2200748,yes,www.promedmail.org/post/2200748,"E. coli, strain common to UTI - USA",no,yes,yes
2399151,yes,www.promedmail.org/post/2399151,"Enterobacteriaceae, carbapenem resistant - France: ex India",yes,yes,yes
1886654,yes,www.promedmail.org/post/1886654,"Enterobacteriaceae, carbapenem resistant - Malaysia: (SK) nosocomial, fatal",yes,yes,yes
2321781,yes,www.promedmail.org/post/2321781,"Enterobacteriaceae, carbapenem resistant - UK: (England) increased incidence",no,yes,yes
1636420,yes,www.promedmail.org/post/1636420,"Enterobacteriaceae, drug resistant \'96 USA (02): (CA) CRE",yes,yes,yes
2195227,yes,www.promedmail.org/post/2195227,FDA revising antibiotic guidelines for animals,no,yes,yes
5166294,yes,www.promedmail.org/post/5166294,"Gonococcal disease - antibiotic resistance, WHO",no,yes,yes
2552639,yes,www.promedmail.org/post/2552639,Gonococcal disease - Australia: (NS) increased incidence,no,yes,yes
5189995,yes,www.promedmail.org/post/5189995,"Gonococcal disease - Australia: antibiotic resistance, azithromycin",no,yes,yes
2723627,yes,www.promedmail.org/post/2723627,Gonococcal disease - Australia: ceftriaxone resistance,yes,yes,yes
3656467,yes,www.promedmail.org/post/3656467,"Gonococcal disease - UK: azithromycin resistance, RFI",yes,yes,yes
4513277,yes,www.promedmail.org/post/4513277,Gonococcal disease - USA (05): (HI) ceftriaxone plus azithromycin resistance,yes,yes,yes
2009341,yes,www.promedmail.org/post/2009341,"Gonococcal disease - USA: (WA) increased incidence, RFI",no,yes,yes
2207106,yes,www.promedmail.org/post/2207106,"Gram negative bacilli, ESBL - UK (Scotland)",no,yes,yes
1308872,yes,www.promedmail.org/post/1308872,"Gram negative bacilli, MDR - Brazil (02): (MG) KPC, nosocomial",no,yes,yes
913662,yes,www.promedmail.org/post/913662,"Gram negative bacilli, MDR - South Africa: NDM-1, nosocomial",yes,yes,yes
1297252,yes,www.promedmail.org/post/1297252,"Gram negative bacilli, MDR - USA: (MD) KPC, nosocomial, fatal",yes,yes,yes
2812844,yes,www.promedmail.org/post/2812844,"Gram-negative bacilli, MDR - Uruguay: (FD) KPC, nosocomial, fatal",yes,yes,yes
2202193,yes,www.promedmail.org/post/2202193,"Gram-negative bacilli, VIM-2 production - S. Korea",yes,yes,yes
2199174,yes,www.promedmail.org/post/2199174,Helicobacter antibiotic resistance - USA (Alaska),no,yes,yes
3723788,yes,www.promedmail.org/post/3723788,"Klebsiella pneumoniae - Portugal: (PO) resistant, KPC, nosocomial, fatal",yes,yes,yes
2193291,yes,www.promedmail.org/post/2193291,"Klebsiella pneumoniae, nosocomial, drug-resistant: RFI",no,yes,yes
7490,yes,www.promedmail.org/post/7490,Listeriosis - Czech Republic: 2006,yes,yes,yes
357948,yes,www.promedmail.org/post/357948,"Malaria, artemisinin resistance - SE Asia (02)",no,yes,yes
2200311,yes,www.promedmail.org/post/2200311,"Malaria, chloroquine resistant, fatal - USA ex Africa",no,yes,yes
1345407,yes,www.promedmail.org/post/1345407,"Melioidosis - Belgium ex Thailand (02): cutaneous, travel-assoc.",yes,yes,yes
2207089,yes,www.promedmail.org/post/2207089,Melioidosis - Mauritius,yes,yes,yes
1467561,yes,www.promedmail.org/post/1467561,"Meningitis, meningococcal - Russia: (PR) fatal",yes,no,yes
2194429,yes,www.promedmail.org/post/2194429,"Meningitis, meningococcal: surveillance - Australia",yes,no,yes
5176214,yes,www.promedmail.org/post/5176214,"Meningococcal disease, eculizumab: complement deficiency, increased risk",yes,yes,yes
4595617,yes,www.promedmail.org/post/4595617,"Mycobacterium bovis - UK: (England) ex S. Africa, animal-to-person transm., 2013",yes,yes,yes
2194241,yes,www.promedmail.org/post/2194241,"Mycobacterium bovis, drug resistant - UK (Scotland)",yes,yes,yes
157102,yes,www.promedmail.org/post/157102,"N. gonorrhoeae, fluoroquinolone resistance - Canada: (ON)",yes,yes,yes
1138608,yes,www.promedmail.org/post/1138608,"NDM carrying bacilli - Canada: (Alberta) nosocomial, fatal",yes,yes,yes
3559467,yes,www.promedmail.org/post/3559467,"NDM-1 carrying Gram-negative bacillus - France: (MR) poss ex Viet Nam, RFI",yes,yes,yes
2749919,yes,www.promedmail.org/post/2749919,NDM-4 carrying Enterobacteriaceae - India: (UP) hospital sewage,no,yes,yes
3723227,yes,www.promedmail.org/post/3723227,"NDM-5 carrying K. pneumoniae - Netherlands: nosocomial, no history of travel",yes,yes,yes
4698685,yes,www.promedmail.org/post/4698685,Plague - Madagascar (02): (AS) fatalities,yes,yes,yes
2192305,yes,www.promedmail.org/post/2192305,Salmonella typhimurium DT 104 - USA (Vermont),yes,yes,yes
2193326,yes,www.promedmail.org/post/2193326,"Salmonella, antibiotic resistance - USA",no,yes,yes
2190556,yes,www.promedmail.org/post/2190556,"Salmonella, drug resistant strain - UK/USA",yes,yes,yes
2201373,yes,www.promedmail.org/post/2201373,"Salmonella, fluoroquinolone resistance - Taiwan",no,yes,yes
3583697,yes,www.promedmail.org/post/3583697,"Salmonellosis - USA (13): (WA) pork, st. i 4,[5],12:i:-",yes,yes,yes
5225307,yes,www.promedmail.org/post/5225307,"Salmonellosis, st Heidelberg - USA: MDR, cattle contact",yes,yes,yes
3528553,yes,www.promedmail.org/post/3528553,"Salmonellosis, st Paratyphi - USA (05): raw tuna ex Indonesia",yes,no,yes
2204737,yes,www.promedmail.org/post/2204737,Shigellosis - Central African Republic (north),yes,no,yes
4994414,yes,www.promedmail.org/post/4994414,Shigellosis - India: (TG) increasing fluoroquinolone resistance,yes,no,yes
2197628,yes,www.promedmail.org/post/2197628,"Shigellosis, daycare centers - USA (Indiana) (02)",yes,no,yes
1825814,yes,www.promedmail.org/post/1825814,"Staph. aureus (MRSA) - USA: (NC) livestock-associated, farm workers",yes,yes,yes
2203264,yes,www.promedmail.org/post/2203264,"Staph. aureus (MRSA), community acq. - USA (CA)",yes,yes,yes
2203448,yes,www.promedmail.org/post/2203448,"Staph. aureus (MRSA), community acq. - USA (MA)",yes,yes,yes
2208515,yes,www.promedmail.org/post/2208515,"Staph. aureus (MRSA), community acq., tattoos - USA (VT)",yes,no,yes
84718,yes,www.promedmail.org/post/84718,"Staph. aureus (MRSA), human, livestock - UK: (Scotland)",yes,no,yes
2206209,yes,www.promedmail.org/post/2206209,"Staph. aureus (MRSA), prisons - USA (North Carolina)",yes,yes,yes
2191851,yes,www.promedmail.org/post/2191851,"Staph. aureus, reduced susceptibility to Vancomycin (02)",yes,yes,yes
2190893,yes,www.promedmail.org/post/2190893,"Staph. aureus, vancomycin resistance - Japan (05)",yes,yes,yes
2190900,yes,www.promedmail.org/post/2190900,"Staph. aureus, vancomycin resistance - Japan (06)",no,yes,yes
2195923,yes,www.promedmail.org/post/2195923,"Staph. aureus, VISA - UK (Scotland)",yes,yes,yes
2194275,yes,www.promedmail.org/post/2194275,"Tuberculosis, multidrug-resistant - Russia",no,yes,yes
1015543,yes,www.promedmail.org/post/1015543,"Tuberculosis, TDR - India (04): (MH) fatal",yes,yes,yes
1005663,yes,www.promedmail.org/post/1005663,"Tuberculosis, TDR - India: (MH, KA)",yes,yes,yes
68035,yes,www.promedmail.org/post/68035,"Tuberculosis, XDR - UK (Scotland) ex Somalia",yes,yes,yes
8570,yes,www.promedmail.org/post/8570,"Tuberculosis, XDR, 1991-2003 - Spain",no,yes,yes
358009,yes,www.promedmail.org/post/358009,"Tuberculosis, XXDR - USA: FL ex Peru",yes,yes,yes
5005152,yes,www.promedmail.org/post/5005152,"Typhoid fever - Kenya: H58 haplotype, antimicrobial resistance",no,yes,yes
2196840,yes,www.promedmail.org/post/2196840,Vancomycin resist. S. aureus - China (Hong Kong) (03),yes,yes,yes
2196260,yes,www.promedmail.org/post/2196260,Vancomycin resist. Staph. aureus - China(Hong Kong)(02),no,yes,yes
2195112,yes,www.promedmail.org/post/2195112,"Vancomycin resist. Staph. aureus, emergence",no,yes,yes
2196200,yes,www.promedmail.org/post/2196200,Vancomycin-resistant Enterococcus - Japan,yes,yes,yes
2203256,yes,www.promedmail.org/post/2203256,VRE - Pakistan (Karachi),yes,no,yes
2199297,yes,www.promedmail.org/post/2199297,"VRE, dialysis patients - China (Hong Kong)",yes,yes,yes
2191834,yes,www.promedmail.org/post/2191834,"Yersinia pestis, antibiotic resistance - Madagascar",yes,yes,yes